315,125.392976,216.58.209.202,192.168.0.202,42,192.168.0.102 is at dc:85:de:91:34:93
495,229.201301,192.168.0.102,192.30.253.125,TCP,55,[TCP Keep-Alive] 54086  >  443 [ACK] Seq=140 Ack=125 Win=252 Len=1
497,229.567315,192.168.0.102,239.255.255.250,IGMPv2,46,Membership Report group 239.255.255.250
500,231.694940,192.168.0.102,40.77.226.192,TLSv1.2,715,Application Data
502,231.828628,192.168.0.102,40.77.226.192,TCP,54,53843  >  443 [ACK] Seq=1275 Ack=832 Win=254 Len=0
507,235.759976,192.168.0.102,192.30.253.124,TLSv1.2,89,Application Data
509,236.899825,192.168.0.102,88.208.35.231,TCP,66,55470  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
511,236.966646,192.168.0.102,88.208.35.231,TCP,54,55470  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0
512,236.966967,192.168.0.102,88.208.35.231,TLSv1.2,571,Client Hello
517,237.019986,192.168.0.102,88.208.35.231,TCP,54,55470  >  443 [ACK] Seq=518 Ack=4097 Win=65536 Len=0
519,237.021961,192.168.0.102,88.208.35.231,TCP,54,55470  >  443 [ACK] Seq=518 Ack=5557 Win=65536 Len=0
521,237.074598,192.168.0.102,88.208.35.231,TLSv1.2,204,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
523,237.128156,192.168.0.102,88.208.35.231,TLSv1.2,667,Application Data
525,237.234359,192.168.0.102,88.208.35.231,TCP,54,55470  >  443 [ACK] Seq=1281 Ack=6474 Win=64768 Len=0
526,237.695768,192.168.0.102,157.55.56.165,UDP,78,23310  >  40035 Len=36
527,237.696035,192.168.0.102,157.55.235.174,UDP,76,23310  >  40027 Len=34
529,237.833446,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55151  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
534,242.116698,192.168.0.102,88.208.35.231,TCP,54,55470  >  443 [ACK] Seq=1281 Ack=6528 Win=64512 Len=0
536,244.264242,192.168.0.102,192.30.253.125,TLSv1.2,89,Application Data
538,244.498353,192.168.0.102,64.233.161.188,TCP,55,[TCP Keep-Alive] 53934  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1
540,246.465244,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55187  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
542,246.933179,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55467  >  443 [ACK] Seq=1494 Ack=5841 Win=66048 Len=1
544,251.695238,192.168.0.102,65.55.223.22,UDP,76,23310  >  40018 Len=34
546,251.848038,192.168.0.102,157.56.52.33,UDP,176,23310  >  40029 Len=134
548,255.059684,192.168.0.102,157.55.235.176,TCP,56,"53868  >  40009 [PSH, ACK] Seq=1834 Ack=635 Win=256 Len=2"
550,255.202286,192.168.0.102,157.55.235.176,TCP,546,"53868  >  40009 [PSH, ACK] Seq=1836 Ack=635 Win=256 Len=492"
553,255.359697,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=2328 Ack=639 Win=256 Len=0
555,256.931799,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=2328 Ack=642 Win=256 Len=0
557,257.043707,192.168.0.102,157.55.235.176,TCP,58,"53868  >  40009 [PSH, ACK] Seq=2328 Ack=652 Win=256 Len=4"
559,257.919994,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55468  >  443 [ACK] Seq=3983 Ack=5709 Win=64768 Len=1
562,260.691288,192.168.0.102,162.125.18.133,TLSv1.2,753,Application Data
565,260.957057,192.168.0.102,162.125.18.133,TLSv1.2,1060,Application Data
568,266.191927,192.168.0.102,172.217.20.163,TCP,55,[TCP Keep-Alive] 55465  >  443 [ACK] Seq=1303 Ack=688 Win=65536 Len=1
570,272.140530,192.168.0.102,199.16.156.52,TCP,55,[TCP Keep-Alive] 55424  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1
571,272.306319,199.16.156.52,192.168.0.102,TCP,68,[TCP Keep-Alive ACK] 443  >  55424 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2
572,280.918552,192.168.0.102,192.30.253.124,TCP,55,[TCP Keep-Alive] 55310  >  443 [ACK] Seq=141 Ack=125 Win=255 Len=1
574,281.768208,192.168.0.102,40.118.105.28,TLSv1.2,155,Application Data
576,281.880433,192.168.0.102,40.118.105.28,TCP,54,53866  >  443 [ACK] Seq=607 Ack=607 Win=255 Len=0
